date,commit_or_status,problem,change,numeric_result,decision,remaining_issue
2026-07-26,3f0ffa3,"ColabではLoCoMoの設定・履歴・比較が分散","LoCoMo評価をWeb Consoleへ統合","基盤移行のため数値なし",adopted,"run間の全条件一致チェック"
2026-07-26,9fa74c8,"card-card類似度がquery-bestを上回る","query/document別embedding prefix","card-card 0.756→0.690、query-best 0.733→0.756、差 -0.023→+0.066",adopted,"モデルとprefixをrunごとに固定"
2026-07-26,8bd2dfb,"異なるembedding条件の記憶を再利用可能","embedding model不一致を事前拒否","定量値なし",adopted,"prefix等を含むrecipe全体の一致確認"
2026-07-26,5b43e8f,"評価結果の保存先が複数","run保存を単一経路へ統一","定量値なし",adopted,"artifact hashと上書き防止"
2026-07-27,70cd7a5,"Gatekeeper分類がfallbackへ崩壊","reasoningモデル向け警告とfallback・RAG診断表示","v25診断: fallback 77.9%、RAG 33.17%",adopted,"分類器変更時の回帰監視"
2026-07-27,v26_run_profile,"Gatekeeper max output 512では分類JSON前に空応答","評価run profileを2048に設定","公式40.36%→48.15%、cat1-4 23.24%→38.04%、fallback 0%、RAG 90.45%","evaluation setting adopted","システム既定変更ではない"
2026-07-27,"fb16753 / 86c4d2b / e9fa5d7","vectorだけでは表記一致を拾いにくい","BM25・RRF hybrid・Web設定・offline replay","同一107カード Recall@3 vector 69.06% / hybrid 64.57%","feature retained; default rejected","重み・候補数・evidence rerank"
2026-07-27,f4abba8,"検索してもGatekeeper判定で注入されない","injection_policy=candidatesをA/B armとして実装","候補がある場合のfull-QA比較が可能","A/B arm retained; production default rejected","不要記憶とtokenコスト"
2026-07-28,"ce3883d / 71c41d4","v27結果の帰属が分類器ブレを含んでいた","結果を記録しinjection_reason単位で再帰属","v26→v27 公式+1.33pt、Evidence +6.10pt、policy単体cat1-4約+1.9pt","attribution corrected","同一コードrevisionの単一変数A/B"
2026-07-28,0980962,"summary/tags配列でカード保存が落ちる","配列返却を正規化","日本語v1で10件中9件の記憶消失を解消",adopted,"保存件数の事前検査"
2026-07-29,47607a5,"英語ベンチだけでは日本語副作用を測れない","必須・補助・不要各10問のpaired offline A/B","30問、1問=カテゴリ内10pt",adopted,"少標本の差を過解釈しない"
2026-07-29,48aff84,"合成記憶では本番ノイズを再現しにくい","実instanceのread-only snapshotをseed化","Jarvis v3以降で155カードA/B",adopted,"個人データを成果物へ転記しない"
2026-07-30,a046f50,"日本語v2-v4の結果と次工程が未整理","埋め込み空間別の検索結果を計画書へ記録","Nomic必須hit@3 2/10→保存3072次元vector（Gemini互換推定）9/10","vector retained; candidates pending","Semantic評価と不要記憶リスク"
2026-08-08,babc29f,"A/Bのtop-kと検索条件を指定できない","arm別top-k・検索設定をWeb入力化","v5以降でintent top3 / candidates top2等を比較",adopted,"条件を列とhashで保存"
2026-08-10,88fb1c4,"短queryとカード要約だけでは根拠を順位付けしにくい","dual-query・一般reranker・Evidence rerank・Semantic Judge","vector→evidence rerank Recall@1 48.62%→51.98%","Judge infrastructure adopted; retrieval modes optional","回答品質との連動確認"
2026-08-12,b4a6b92,"検索だけの安価な比較とfull-QA経路が不足","retrieval_prep・hybrid evidence fusion・full-QA comparison pathを正式導入","landing直前のworktree評価でall-10 Recall@3 67.61%→70.84%、rescue 74 / harm 14","comparison infrastructure adopted; fusion optional","候補limit・重みを固定してQA再評価"
2026-08-12,e25d2c9,"一時API失敗で大規模runが欠損","QAを最大3回、1/2/4秒で再試行","定量値なし",adopted,"retry件数と最終失敗率"
2026-08-12,bb83aa3,"Evidence=0だけでは失敗箇所不明","no_card / not_in_candidates / rank_below_injectionへ分類","v31の46問=11 / 12 / 23",adopted,"最大課題のtop3外23問を改善"
2026-08-13,uncommitted,"fusion重みとMMRの効果が未確定","w40/50/60/70・候補50・MMRを比較","conv-26のみ: Recall@3はw50 69.42% / w40 69.06%だがhit@3はともに108で並び、Recall@1はw40 51.26%が最高。MMR変化なし","superseded (conv-26単独の小差)","all-10で再現確認"
2026-08-15,uncommitted,"v34の+5.81ptがモデル差か検索設定か未分離","199問をtop3検索変化の有無で分割し寄与を帰属","検索が変わらない188問で+5.37pt、検索改善8問で+0.80pt、悪化3問で-0.36pt。official +5.81ptに対し検索由来は+0.44ptのみ","attribution corrected","gemma-4-12b固定でw70/pool20へ戻したfull-QA run"
2026-08-15,uncommitted,"候補pool 50と重みw40の寄与が同時変更で不可分","pool 20/50 × w70/w40 の2x2 offline replay","conv-26 Recall@3: pool効果は+0問(w70)/+1問(w40)、重み効果は+3〜4問。Recall@1のpool効果は両者とも±0問","pool 50 rejected","注入top3のままなら候補50は余剰"
2026-08-15,uncommitted,"conv-26 139問では1問=0.7ptで重みの差を判定できない","all-10 oracle 1,405問でw70/w40/w50を再測定","Recall@3: w70 1,115問 / w50 1,112問 / w40 1,108問。w40は-7問。Recall@1はw50が+35問で最高。harm@3は14→59へ増加","w40 rejected; w70 retained","@1改善を活かすには注入top-kの見直しが必要"
